Orden,Dependencia,Atencion,Recibio del cer,Entrego al cer,Folio,Entrada,Equipo,Marca,Modelo,Serie,Unidad,Delegacion,Accesorios,Falla,Ticket,Status,Reparacion,Salida,Reparacion,Servicio,Reporte,LinkR,,linkO,Descarga
A2,TRANSITO,,,,99,4-Jan,PORTATIL,KENWOOD,TK-3180,B2201491,XX,SUPERVISION DE UNIDADES,,,14316,ENTRAGADO,8-Jan,8-Feb,JC,REVISION,"SE REVISO EL EQUIPO ESTA FUNCIONANDO CORRECTAMENTE, PARAMETROS CORRECTOS RX Y TX-OK",http://10.90.111.119:5000/resguardo/A2,http://10.90.111.119:5000/resguardo/A2,http://10.90.111.119:5000/orden/A2,http://10.90.111.119:5000/orden/A2
A3,TRANSITO,,,,100,4-Jan,PORTATIL,SEPURA,STP9000,1PRE01711G8H587,XX,SUPERVISION DE UNIDADES,,,,ENTRAGADO,4-Feb,8-Feb,CESAR,REPARACION,SE CAMBIO CONTROL DE VOLUMEN Y TARJETA SECUNDARIA DE ENCENDIDO SE REVISAN PARAMETROS GENERALES CORRECTOS RX-OK Y TX-OK,http://10.90.111.119:5000/resguardo/A3,http://10.90.111.119:5000/resguardo/A3,http://10.90.111.119:5000/orden/A3,http://10.90.111.119:5000/orden/A3
A4,TRANSITO,,,,101,4-Jan,PORTATIL,SEPURA,STP9000,1PRE01711G8H56R,XX,SUPERVISION DE UNIDADES,,,,ENTRAGADO,13-Jan,8-Feb,PEPE,REPARACION,"SE REPARO FALLA EN CONTROL DE VOLUMEN, SE REVISARON PARAMETROS GENERALES CORRECTOS RX-OK Y TX-OK.",http://10.90.111.119:5000/resguardo/A4,http://10.90.111.119:5000/resguardo/A4,http://10.90.111.119:5000/orden/A4,http://10.90.111.119:5000/orden/A4
A5,POLICIA,,,,E442,7-Jan,MOBIL,SEPURA,SRG3900,8PRF01623G7C285,E14,ESTACION DE POLICIA,,,,ENTRAGADO,7-Jan,7-Jan,CESAR,REPRACION,"SE CAMBIO FUSIBLE DAÑADO, SE REVISARON PARAMETROS GENERALES CORRECTOS RX-OK Y TX-OK.",http://10.90.111.119:5000/resguardo/A5,http://10.90.111.119:5000/resguardo/A5,http://10.90.111.119:5000/orden/A5,http://10.90.111.119:5000/orden/A5
A6,POLICIA,,,,CV-0001,7-Jan,MOBIL,SEPURA,SRG3900,2psj01911g7870p,xx,policia,,,,ENTRAGADO,12-Jan,12-Jan,martin,,,http://10.90.111.119:5000/resguardo/A6,http://10.90.111.119:5000/resguardo/A6,http://10.90.111.119:5000/orden/A6,http://10.90.111.119:5000/orden/A6
A7,POLICIA,,,,CV-0002,7-Jan,MOBIL,SEPURA,SRG3900,2PSJ01911G786TJ,E03,LEON II,,,,ENTRAGADO,8-Jan,8-Jan,JC,REPRACION,"SE CABLE DE ALIMENTACION, FUSIBLE Y PORTA FISIBLE, PARAMETROS CORRECTOS RX Y TX-OK",http://10.90.111.119:5000/resguardo/A7,http://10.90.111.119:5000/resguardo/A7,http://10.90.111.119:5000/orden/A7,http://10.90.111.119:5000/orden/A7
A8,POLICIA,,,,5,8-Jan,PORTATIL,SEPURA,STP9038,1PRC01625G8A7UT,XX,RURAL,,,14323,ENTRAGADO,15-Jan,19-Jan,JC,REPARACION,"SE REVISA BOTON PTT ESTA TRABAJANDO CORRECTAMENTE, PARAMETROS CORRECTOS RX YTX-OK",http://10.90.111.119:5000/resguardo/A8,http://10.90.111.119:5000/resguardo/A8,http://10.90.111.119:5000/orden/A8,http://10.90.111.119:5000/orden/A8
A9,TRANSITO,,,,103,8-Jan,PORTATIL,SEPURA,STP9038,1PRE01712G8H5RY,XX,5TA COMANDANCIA,,,,ENTRAGADO,5-Feb,8-Feb,PEPE,DIAGNOSTICO,EL EQUIPO CUENTA CON DAÑO EN TARJETA MADRE POR LO CUAL NO ES COSTEABLE SU REPARACION.,http://10.90.111.119:5000/resguardo/A9,http://10.90.111.119:5000/resguardo/A9,http://10.90.111.119:5000/orden/A9,http://10.90.111.119:5000/orden/A9
A10,PROTECCION CIVIL,,,,SSP/PC/020/2021,8-Jan,PORTATIL,SEPURA,   ,1PRC01616G8277U,XX,OPERATIVO,,,,ENTRAGADO,8-Jan,11-Jan,JAVIER,PROGRAMACION,SE PROGRAMO CANALES OPERATIVOS DE LA DIR. DE PROTECCION CIVIL. PARAMETROS OK .,http://10.90.111.119:5000/resguardo/A10,http://10.90.111.119:5000/resguardo/A10,http://10.90.111.119:5000/orden/A10,http://10.90.111.119:5000/orden/A10
A11,POLICIA,,,,7,11-Jan,PORTATIL,SEPURA,STP9038,1PRC01625G8A7UH,XX,MONTADA,,,14340,ENTRAGADO,15-Jan,3-Feb,JC,REPARADO,SE DA LIMPIEZA A CONTROL DE VOLUMEN PARAMETROS CORRECTOS RX Y TX-OK,http://10.90.111.119:5000/resguardo/A11,http://10.90.111.119:5000/resguardo/A11,http://10.90.111.119:5000/orden/A11,http://10.90.111.119:5000/orden/A11
